id,created_at,text
1121925016864428032,2019-04-26 23:52:23,b'I had a great time talking to khalilrountree yesterday! Hes got a really interesting take on things and his story https://t.co/vbc6T0lxVS'
1121672272903753729,2019-04-26 07:08:04,b'I just uploaded JRE MMA Show #64 with Khalil Rountree Jr. to #Vimeo: https://t.co/W81QnuEfSH'
1121618063160332289,2019-04-26 03:32:39,b'Very cool footage by @itsalimacofsky of @cheetosantino making his way to the stage at @viejas_arena Saturday night. https://t.co/pkDznriPJ0'
1121310846372724736,2019-04-25 07:11:53,b'A fine dinner with extraordinary gentleman. @immortaltech @ogeverlast at @adamperrylang in Hollywood. https://t.co/wifW9wguwW'
1121150300113506304,2019-04-24 20:33:56,b'Over at @onnit were having a big fat semi annual sale!\nFor some strange reason it has a nautical theme...\n\nDoorbus https://t.co/FkcD1g2TlB'
1120909399344721920,2019-04-24 04:36:40,b'I just uploaded JRE #1285 - B-Real to #Vimeo: https://t.co/Ry37MH0sIL'
1120909197523214336,2019-04-24 04:35:52,b'Really enjoyed catching up with the great and powerful @B_Real!  Ive been a fan of his and the whole @cypresshill https://t.co/DVOPs4S05T'
1120807488289263617,2019-04-23 21:51:43,"b'Good googley moogley! The great and powerful @B_Real was here, and he dropped off inter dimensional time warp weed! https://t.co/vNyYv66DpI'"
1120780683973099520,2019-04-23 20:05:12,b'I just uploaded JRE #1284 - Graham Hancock to #Vimeo: https://t.co/pS2VSfOQ31'
1120541833673805824,2019-04-23 04:16:06,"b""#Repost @thecomedystore with rep0stapp\n            \nJust Announced: we've added a bunch of @joerogan &amp; Frien https://t.co/6fkJUYIDDm"""
1120527920399777792,2019-04-23 03:20:49,"b'Epic podcast with my dear friend, the brilliant Graham Hancock is now available in audio and video in all platforms https://t.co/I7Jyqo3vja'"
1120475916864577536,2019-04-22 23:54:10,"b""Twitter we're doing a Joe Rogan and Friends show this Thursday at @TheComedyStore at 10:30pm come get some https://t.co/BMRGQNmCZT"""
1120384569826373632,2019-04-22 17:51:11,"b'One of the greatest minds in combat sports, the great @teddyatlasreal and my friend @krideout12 have a new show: Th https://t.co/cK1CtjQUZc'"
1120200352584699904,2019-04-22 05:39:11,b'Amateur MMA Fighter Beats Up Man Jerking Off In Front Of Her During Beach Photoshoot https://t.co/b0dTW11uaV via @deadspin'
1120170353894907904,2019-04-22 03:39:58,b'I REALLY enjoyed this super high level fight between @MAKHACHEVMMA and arm_011 from Last nights @ufc in Russia. Bo https://t.co/THfxeUUoRU'
1120118208047001602,2019-04-22 00:12:46,b'Fun times last night with @tonyhinchcliffe and @cheetosantino at @viejas_arena! https://t.co/jDc2Ey5NRV'
1120046750520070144,2019-04-21 19:28:49,b'Beautiful day for a run! Thank you again to everyone that came out to the show last night in San Diego! I was runni https://t.co/eCrK9AB81m'
1120017286218145793,2019-04-21 17:31:44,b'Happy Easter from marshallmaerogan and the rest of the Rogan family! https://t.co/bN5gYJqI0a'
1119858599679922178,2019-04-21 07:01:10,"b'Thank you again, San Diego! https://t.co/QcNNHKC7FL'"
1119850847377199106,2019-04-21 06:30:22,b'San Diego! Thank you for an epic night! I love you all! https://t.co/RqHV8ogbW9'
1119804572233555968,2019-04-21 03:26:29,b'Pre show hype session fueled by my man @vinnie_paz https://t.co/aTAwVq1o59'
1119804150588559360,2019-04-21 03:24:49,b'Just posted a photo https://t.co/7yiIPyuSSP'
1119773009508593664,2019-04-21 01:21:04,b'420 in San Diego https://t.co/aHzJ3xaTfj'
1119640508496842752,2019-04-20 16:34:33,b'Tonight!! Woooo Hooo! San Diego here we come! https://t.co/JqdXUA6cQh'
1119527409479503872,2019-04-20 09:05:08,b'I just uploaded JRE #1283 - Russell Brand to #Vimeo: https://t.co/vlXGeAs3IX'
1119458049469476865,2019-04-20 04:29:32,b'#lookintoit \n#Repost @eddiebravo with rep0stapp\n            \nBusted #Repost cocobuttahphotoshops https://t.co/5NInLRHRPg'
1119457329810788353,2019-04-20 04:26:40,b'Aggressive. @tonyhinchcliffe https://t.co/CaAz0j7x4r'
1119107280488648705,2019-04-19 05:15:42,"b""#Repost jenna_sunday with rep0stapp\n            \n@onebyonepodcast has been killin' the flyers for this show! https://t.co/4AFqVDrXn8"""
1119063644283662336,2019-04-19 02:22:18,b'Newly Discovered Ancient Carnivore Was Bigger Than a Polar Bear and Is True Nightmare Fuel https://t.co/RbFgtdtCZq via @gizmodo'
1119063487525732352,2019-04-19 02:21:41,"b""BBC News - US man could face death penalty over Thailand 'sea home' https://t.co/q6ObhwMjmn"""
1118974481848913922,2019-04-18 20:28:00,"b'San Diego, were 2 days away! @viejas_arena @tonyhinchcliffe @cheetosantino https://t.co/QaS20jiVOG https://t.co/yjofi9D9dl'"
1118964950364372992,2019-04-18 19:50:08,b'Jet Skier Effortlessly Swerves Through Tight Utah Canyons At High Speed https://t.co/jw4CylRlOI via @Digg'
1118711658786877440,2019-04-18 03:03:38,b'Pig brains partially revived four hours after death - BBC News https://t.co/MdGLyYQvKZ'
1118642467677589504,2019-04-17 22:28:42,b'I just uploaded JRE #1282 - Adam Conover to #Vimeo: https://t.co/qkMyphrpoi'
1118527968924422144,2019-04-17 14:53:43,b'San Diego! Were coming in hot! https://t.co/t3gpSGwiHF'
1118449420465528832,2019-04-17 09:41:36,b'I just uploaded JRE MMA Show #63 with Jorge Masvidal to #Vimeo: https://t.co/GBpSvNjwrO'
1118426072826011648,2019-04-17 08:08:49,b'Human heart made from human cells created with 3D printer for first time https://t.co/BEvNEg735F #FoxNews'
